,Title,Poet,Poem
1264,After a Greek Proverb,A.E. Stallings,"Ουδέν μονιμότερον του προσωρινού

We’re here for the time being, I answer to the query—
Just for a couple of years, we said, a dozen years back.
Nothing is more permanent than the temporary.

We dine sitting on folding chairs—they were cheap but cheery.
We’ve taped the broken window pane. tv’s still out of whack.
We’re here for the time being, I answer to the query.

When we crossed the water, we only brought what we could carry,
But there are always boxes that you never do unpack.
Nothing is more permanent than the temporary.

Sometimes when I’m feeling weepy, you propose a theory:
Nostalgia and tear gas have the same acrid smack.
We’re here for the time being, I answer to the query—

We stash bones in the closet when we don’t have time to bury,
Stuff receipts in envelopes, file papers in a stack.
Nothing is more permanent than the temporary.

Twelve years now and we’re still eating off the ordinary:
We left our wedding china behind, afraid that it might crack.
We’re here for the time being, we answer to the query,
But nothing is more permanent than the temporary."
1265,Afterword,Louise Glück,"Reading what I have just written, I now believe
I stopped precipitously, so that my story seems to have been
slightly distorted, ending, as it did, not abruptly
but in a kind of artificial mist of the sort
sprayed onto stages to allow for difficult set changes.

Why did I stop? Did some instinct
discern a shape, the artist in me
intervening to stop traffic, as it were?

A shape. Or fate, as the poets say,
intuited in those few long ago hours—

I must have thought so once.
And yet I dislike the term
which seems to me a crutch, a phase,
the adolescence of the mind, perhaps—

Still, it was a term I used myself,
frequently to explain my failures.
Fate, destiny, whose designs and warnings
now seem to me simply
local symmetries, metonymic
baubles within immense confusion—

Chaos was what I saw.
My brush froze—I could not paint it.

Darkness, silence: that was the feeling.

What did we call it then?
A “crisis of vision” corresponding, I believed,
to the tree that confronted my parents,

but whereas they were forced
forward into the obstacle,
I retreated or fled—

Mist covered the stage (my life).
Characters came and went, costumes were changed,
my brush hand moved side to side
far from the canvas,
side to side, like a windshield wiper.

Surely this was the desert, the dark night.
(In reality, a crowded street in London,
the tourists waving their colored maps.)

One speaks a word: I.
Out of this stream
the great forms—

I took a deep breath. And it came to me
the person who drew that breath
was not the person in my story, his childish hand
confidently wielding the crayon—

Had I been that person? A child but also
an explorer to whom the path is suddenly clear, for whom
the vegetation parts—

And beyond, no longer screened from view, that exalted
solitude Kant perhaps experienced
on his way to the bridges—
(We share a birthday.)

Outside, the festive streets
were strung, in late January, with exhausted Christmas lights.
A woman leaned against her lover’s shoulder
singing Jacques Brel in her thin soprano—

Bravo! the door is shut.
Now nothing escapes, nothing enters—

I hadn’t moved. I felt the desert
stretching ahead, stretching (it now seems)
on all sides, shifting as I speak,

so that I was constantly
face to face with blankness, that
stepchild of the sublime,

which, it turns out,
has been both my subject and my medium.

What would my twin have said, had my thoughts
reached him?

Perhaps he would have said
in my case there was no obstacle (for the sake of argument)
after which I would have been
referred to religion, the cemetery where
questions of faith are answered.

The mist had cleared. The empty canvases
were turned inward against the wall.

The little cat is dead (so the song went).

Shall I be raised from death, the spirit asks.
And the sun says yes.
And the desert answers
your voice is sand scattered in wind."
1266,Among the Gorgons,Michelle Boisseau,"For Eleanor

For seventeen years I was caught in the surf.
Drubbed and scoured, I’d snatch a breath
and be jerked down again, dragged across 
broken shells and shingle. I loved it,
mostly, the need, how I fed the frantic.

I’d skipped into that sea. Certainly not
a girl, but I could still turn a head as I took
the foam between my thighs. 
Then it was over.

                                Hiss of a match 
snuffed with spit. The sea had trotted off.
I stood in the stink of flapping fish.
At first it stung. A galaxy of dimes 
eyed my sag and crinkles and dismissed 
me like a canceled stamp,

but something tugged at me, silver braids
weaving and unweaving themselves
and either the path was shrinking
or I was getting bigger, for soon the way
was just a hair, the extra bit of wit

a grandma leaves on her chin
to scare the boys, and it led me 
into a cave crackling like a woodstove
with laughter. 

                            A landslide opened 
a seam of rubies and we stepped inside."
1267,Ancestral Lines,David Ferry,"It’s as when following the others’ lines,
Which are the tracks of somebody gone before,
Leaving me mischievous clues, telling me who

They were and who it was they weren’t,
And who it is I am because of them,
Or, just for the moment, reading them, I am,

Although the next moment I’m back in myself, and lost.
My father at the piano saying to me, 
“Listen to this, he called the piece Warum?”

And the nearest my father could come to saying what
He made of that was lamely to say he didn’t,
Schumann didn’t, my father didn’t, know why.

“What’s in a dog’s heart”? I once asked in a poem,
And Christopher Ricks when he read it said, “Search me.”
He wasn’t just being funny, he was right.

You can’t tell anything much about who you are
By exercising on the Romantic bars.
What are the wild waves saying? I don’t know.

And Shelley didn’t know, and knew he didn’t.
In his great poem, “Ode to the West Wind,” he
Said that the leaves of his pages were blowing away,

Dead leaves, like ghosts from an enchanter fleeing."
1268,"C.P. Cavafy, Thermopylae",David Ferry,"Honor is due to those who are keeping watch,
Sentinels guarding their own Thermopylae;
Never distracted from what is right to do,
And right to be; in all things virtuous,
But never so hardened by virtue as not to be
     
Compassionate, available to pity;
Generous if they’re rich, but generous too,
Doing whatever they can, if they are poor;
Always true to the truth, no matter what,
But never scornful of those who have to lie.

Even more honor is due when, keeping watch,
They see that the time will come when Ephialtes 
Will tell the secret to the Medes and they
Will know the way to get in through the goat-path."
1269,Catullus I,David Ferry,"To Cornelius Nepos

Who is it I should give my little book to,
So pretty in its pumice-polished covers?

Cornelius, I’ll give my book to you:
Because you used to think my nothings somethings,

At the time when you were the first in Italy
To dare to write our whole long history,

Three volumes, under the sign of Jupiter,
Heroically achieved; so take this little

Book of mine for what it’s worth; whatever;
And oh, patroness Virgin, grant that it shall

Live and survive beyond the century."
1270,Coffee Lips,David Ferry,"The guest who came in to the street people’s suppers last night,
An elderly man with a lost smart little boy’s face and a look

As if he might turn against you anytime soon,
As if he’d just come into this world and he was extremely 

Wary about what the world was going to be, and he said, 
“If I ask you a question will you give me a truthful answer?” 

And I said, “That depends on what the question is,” 
Thinking the little elderly boy looked sophisticated and

As if he’d in fact been a long time in the world 
And would get the tone right, and maybe he did, or maybe he didn’t;

At any rate he went on to ask the question,
“When I come into places like this and there are people holding

Coffee cups to their lips and they look at me,
Are they about to drink the coffee or not to drink the coffee?”

He was balancing the world on the tip of his witty unknowing nose.
I felt like I was falling down someplace else than anywhere there."
1271,"Convinced, 1957",Kathryn Starbuck,"At last I was convinced that giving in to their thinking represented a huge error in the evolution of my family affairs. Riven with a savage melancholy, not permitted out of the house without two minders—one armed with needle sedative, the other armed with arms—I armed myself with myself and threw off the vulgar superstition and reactionary domination that had up to then poisoned my mental library, imprisoning me, making me believe, with them, that I must have children when I knew that I must not, would not.    And I did not."
1272,Dear Drought,Amy Beeder,"Offer your usual posy of goatheads. Proffer
sharp garlands of thistle & Incas’ thin down;
of squash bugs strung on blighted stems; send

back necklaced every reeking pearl I crushed, 

each egg cluster that I scraped away with knife
or twig or thumbnail. Wake me sweat-laced
from a dream of hidden stables: the gentle foals 

atremble, stem-legged, long-neglected. Dear
drought our summer’s corn was overrun again
with weed & cheat; the bitter zinnias fell to bits.

Dear yearlings our harvest is lattice & husk."
1273,Death Gets into the Suburbs,Michelle Boisseau,"It sweats into the tongue and groove
of redwood decks with a Tahoe view.
It slides under the truck where some knuckles

are getting banged up on a stuck nut.
It whirls in the egg whites. Among blacks
and whites spread evenly. Inside the chicken

factory, the Falcon 7x, and under the bridge.

There’s death by taxi, by blood clot, by slippery rug.
Death by oops and flood, by drone and gun.

Death with honor derides death without. 
Realpolitik and offshore accounts
are erased like a thumb drive lost in a fire.

And the friendly crow sets out walnuts to pop under tires.

So let’s walk the ruins, let’s walk along the ocean
and listen to death’s undying devotion."
1274,Epic Simile,A.E. Stallings,"For Rachel

Right shoulder aching with day-long butchery,
Left shoulder numb with dints clanged on the shield,
The hero is fouled with blood, his own and others’,
First slick, then sticky, then caked, starting to mat
His beard—the armor deadweight all around him;
His teeth grit and rattle with every jolt
Of bronze-rimmed wheels behind the shit-flecked horses.
But when he glimpses the mountains, the distant snow,
A blankness swoons upon him, and he hears
Nothing but the white vowels of the wind
Brushing through stands of spears like conifers
While a banner slips its staff and hangs in the blue
Like a kestrel or a contrail. The hero’s death,
The prize, elusive quarry of his life,
Stands stock-still in her cloven tracks in snow
And turns, one ear tuned to the creek’s far bank,
One dished towards him. Her unstartled gaze
Beads on him like a sniper’s sights, until
At the clean report of a cracking poplar branch,
She leaps away like luck, over rapid water,
And snowfall scrims the scene like a mist of tears,
Like a migraine, like sweat or blood streaming into your eyes."
1275,Hard Times,Michael Ryan,"The lousy job my father lands
I’m tickled pink to celebrate.
My mother’s rosary-pinching hands
stack pigs in blankets on a plate.

Teeny uncircumcised Buddha penises
(cocktail hot dogs in strips of dough):
I gobble these puffed-up weenie geniuses
as if they’d tell me what I need to know

to get the fuck out of here.
They don’t only stink of fear.
They’re doom and shame and dumb pig fate.
I tell my mom I think they’re great.

Dad chews his slowly with a pint of gin,
and says he eats a whole shit deal
because of us. My mom’s in tears again.
I don’t know who to hate or how to feel."
1276,"In Love, His Grammar Grew",Stephen Dunn,"In love, his grammar grew 
rich with intensifiers, and adverbs fell
madly from the sky like pheasants 
for the peasantry, and he, as sated
as they were, lolled under shade trees
until roused by moonlight 
and the beautiful fraternal twins 
and and but. Oh that was when
he knew he couldn’t resist
a conjunction of any kind.
One said accumulate, the other
was a doubter who loved the wind
and the mind that cleans up after it.
                                           For love
he wanted to break all the rules, 
light a candle behind a sentence
named Sheila, always running on
and wishing to be stopped
by the hard button of a period. 
Sometimes, in desperation, he’d look
toward a mannequin or a window dresser
with a penchant for parsing.
But mostly he wanted you, Sheila,
and the adjectives that could precede
and change you: bluesy, fly-by-night,
queen of all that is and might be."
1277,Incubus,David Ferry,"At the supper for street people

The young man who goes about all muffled up from harm,
With whatever he has found, newspaper pages
Carefully folded to make a weirdly festive 
Hat or hood, down almost over his eyes.
Everything carefully arranged to make him other.
The paper-covered razor blade in his mouth, 
Or the bit of wood, like carrying a message.

A fantasy so clever, outwitting itself, 
That it became what it was he was, and so 
He was what it was. The long loose shirt too big 
For him, the pantaloons too big for him 
Loose like the pantaloons of the circus clown,
Some kind of jacket too big, he got it somewhere.
His burden slept dreaming everywhere upon him.
As if his whole body and the clothes he wore dreamed
Of his condition and the dream came true.

His clothes slept on him as if they were his lover."
1278,Lithium Dreams (White Sea),Amy Beeder,"The Salar de Uyuni in Bolivia holds the world’s largest lithium reserves. “As remote and unlikely a place as can be imagined for the world to seek its salvation.”—Matthew Power

Once, volcanoes walked & talked like humans. Married.
           Quarreled & gave birth. When the beautiful Tunupa’s 

husband ran away & took their only child she mourned: 

she cried & stormed, her full breasts spilled until she made
              this sunken bed, a dry & ragged ice-white sea. Tears

& milk. Salt. Silver liquor of the spirits, the winter tuber’s pulp.

                                                            ≈

Buzz Aldrin spied a plain from space: twice Rhode Island-sized,

not a glacier but this vast evaporation, a place so flat we use its plane 
to calibrate the altitude of satellites, measure the retreat of polar ice.

A dry lagoon of element. Energy. Winking like a coin in a well. 

                                                           ≈

In bare Salar the tourists bottle sand & salt: mug & pirouette
across this lithic sink of drought, empty leagues of sky & light,

slight mist of silt. We dream our dreams of clean—or cleaner—
means to drive and speak—o Li, atomic number three, be 

our Miracle element!
                                        Prehistoric smelt, simmered & distilled

in Altiplano climes, your samite matter known to quiet, after all, 
the manic brain, the urge to suicide; proven to dispel the voice

that whispers fire from the gods is never free—
                                                                            Lithium chloride 
& plain table salt under ancient ocean crust; fossils & algae;

a bird so bright & blackly drowned, pickled in the salt brine pool:
the desert is generous. 
                                         The desert is a pot boiled dry. This road 

will turn to dirt and then to salt, to the workers in jumpsuits, 
veiled & covered from the brutal sun; but we’re not here, not here—

what matters are the distant cities: Chongquing, Phoenix, Quebec,
Lagos, far & star-chalked: splitting at the seams. Now

                                                           ≈

the shrouded workers wait for sunset. The desert is patient.
They see the bed plowed under: slapdash trenches in the legend, 

in the hasty furrows raked. With eyes narrowed from the endless
light. See Litio. Wages in the veins laid open; see paid the lush

reduction of her ditches’ spill. This new abyss to feed our traffic."
1279,Lost to View,Stephen Edgar,"A range of clouds banked up behind the peak
Of that apocryphal
Blue mountain, with a wide, oblique
Burst of late sun
Projecting at the east’s receding wall

A film of what the day so far has done:
A wind that tries to scrape
The breaking waves up as they run
Across the bay
And shatter at the foot of Fluted Cape

In tern and gannet-printed veils of spray;
And trees the wind has caught,
Which seem too self-contained to sway
When they are blown,
And only move as a pleasing afterthought.

No one. No human presence has been known,
Surely, to venture here.
It takes one blackbird to disown
That vagary
And, whistling just a few feet from his ear,

To call him back again and make him be
The subject in this scene,
The one who is required to see.
Another day,
No blackbird with its song will intervene.

The spray will hang its veils and the trees sway."
1280,Martial 1.101,David Ferry,"He, who had been the one to whom I had
Recited my poems and then he wrote them down
With his faithful scribal hand for which already
He was well known and had been justly praised,
Demetrius has died. He lived to be
Fifteen years old, and after that four summers.
Even the Caesars had heard how good he was.

When he fell sick and I knew he was going to die,
I didn’t want him to descend to where
The Stygian shades are, still a slave, and so
I relinquished my ownership of him to his sickness.
Deserving by my deed to have gotten well,
He knew what I had done and was grateful for it,
Calling me his patron, falling free,

Down to those waters that are waiting there."
1281,"Queen, you are fathomed",Joseph Spece,"Exalted life
                         this

not because you know
slavish attention 
                                     or sit

bathed in the royal jellies
     and rarer distillates

nor because it commences
             backlit all 

by droning buzz and the mellow

                scent of lilac

                       but for your ignorance of desire

                       for your cloistering, Liege

Never wondering
               what tastes abound 
           in distant clusters

                                               so rich is your interior
                                                           your fecundity

                          your multiple dark imaginings

Never saying
                          as I do
            Why         and again                 Why

Never saying
                          as I do
                          to the world of surrounding combs

          Do you think I may someday escape"
1282,A Summer Garden,Louise Glück,"1
Several weeks ago I discovered a photograph of my mother
sitting in the sun, her face flushed as with achievement or triumph.
The sun was shining. The dogs
were sleeping at her feet where time was also sleeping,
calm and unmoving as in all photographs.

I wiped the dust from my mother’s face.
Indeed, dust covered everything; it seemed to me the persistent
haze of nostalgia that protects all relics of childhood.
In the background, an assortment of park furniture, trees and shrubbery.

The sun moved lower in the sky, the shadows lengthened and darkened.
The more dust I removed, the more these shadows grew.
Summer arrived. The children
leaned over the rose border, their shadows
merging with the shadows of the roses.

A word came into my head, referring
to this shifting and changing, these erasures
that were now obvious—

it appeared, and as quickly vanished.
Was it blindness or darkness, peril, confusion?

Summer arrived, then autumn. The leaves turning,
the children bright spots in a mash of bronze and sienna.

                                                         2

When I had recovered somewhat from these events,
I replaced the photograph as I had found it
between the pages of an ancient paperback,
many parts of which had been
annotated in the margins, sometimes in words but more often
in spirited questions and exclamations
meaning “I agree” or “I’m unsure, puzzled—”

The ink was faded. Here and there I couldn’t tell
what thoughts occurred to the reader
but through the bruise-like blotches I could sense
urgency, as though tears had fallen.

I held the book awhile.
It was Death in Venice (in translation);
I had noted the page in case, as Freud believed,
nothing is an accident.

Thus the little photograph
was buried again, as the past is buried in the future.
In the margin there were two words,
linked by an arrow: “sterility” and, down the page, “oblivion”—

“And it seemed to him the pale and lovely
summoner out there smiled at him and beckoned...”

                                                         3

How quiet the garden is;
no breeze ruffles the Cornelian cherry.
Summer has come.

How quiet it is
now that life has triumphed. The rough

pillars of the sycamores
support the immobile
shelves of the foliage,

the lawn beneath
lush, iridescent—

And in the middle of the sky,
the immodest god.

Things are, he says. They are, they do not change;
response does not change.

How hushed it is, the stage
as well as the audience; it seems
breathing is an intrusion.

He must be very close,
the grass is shadowless.

How quiet it is, how silent,
like an afternoon in Pompeii.

                                                         4 

Beatrice took the children to the park in Cedarhurst.
The sun was shining. Airplanes
passed back and forth overhead, peaceful because the war was over.

It was the world of her imagination:
true and false were of no importance.

Freshly polished and glittering—
that was the world. Dust
had not yet erupted on the surface of things.

The planes passed back and forth, bound
for Rome and Paris—you couldn’t get there
unless you flew over the park. Everything
must pass through, nothing can stop—

The children held hands, leaning
to smell the roses.
They were five and seven.

Infinite, infinite—that
was her perception of time.

She sat on a bench, somewhat hidden by oak trees.
Far away, fear approached and departed;
from the train station came the sound it made.

The sky was pink and orange, older because the day was over.

There was no wind. The summer day
cast oak-shaped shadows on the green grass."
1283,"Virgil, Aeneid, II, ii. 250–267",David Ferry,"And now the heavens shift and the night comes in,
And covers with its darkness earth and sky 
And the tricks of the Myrmidons. Throughout the city 
The Trojans, wearied by joy, lie fast asleep.
And now the Greeks set out from Tenedos, 
Their ships proceeding in an ordered line, 
Under the friendly light of the silent moon, 
Making their way toward the shore they know so well,
And when the royal galley’s beacon light 
Is lighted, Sinon sees it, and quietly goes,
Protected by malign complicit fates,
And furtively opens up the Horse’s flank
And frees the Argive warriors from its womb.
The Horse releases them to the open air
And joyfully they come out: first come the captains
Thessander, and Sthenelus, and dire Ulysses, 
Lowering themselves to the ground by means of a rope,
And Acamas and Thoas, and Pyrrhus, Achilles’ son,
And Machaon the prince, and Menelaus, 
And Epeus, he, who contrived the Wooden Horse 
That fooled us so. And then they enter the city,
That’s deep submerged in wine and unknowing sleep;
They surprise and kill the watch, and open the gates
To welcome in their comrades from the fleet,
Letting them in for what they are going to do."
1284,The Art of Being,Anne Coray,"The fern in the rain breathes the silver message.
Stay, lie low. Play your dark reeds
and relearn the beauty of absorption.
There is nothing beyond the rotten log
 covered with leaves and needles.
Forget the light emerging with its golden wick.
Raise your face to the water-laden frond.
A thousand blossoms will fall into your arms."
1285,"Sometimes, When the Light",Lisel Mueller,"Sometimes, when the light strikes at odd angles
and pulls you back into childhood
 
 and you are passing a crumbling mansion
completely hidden behind old willows
 
 or an empty convent guarded by hemlocks
and giant firs standing hip to hip,
 
 you know again that behind that wall,
under the uncut hair of the willows
 
 something secret is going on,
so marvelous and dangerous
 
 that if you crawled through and saw,
you would die, or be happy forever."
1286,Mine - by the Right of the White Election! (411),Emily Dickinson,"Mine - by the Right of the White Election!
Mine - by the Royal Seal!
Mine - by the sign in the Scarlet prison - 
Bars - cannot conceal!

Mine - here - in Vision - and in Veto!
Mine - by the Grave's Repeal - 
Titled - Confirmed - 
Delirious Charter! 
Mine - long as Ages steal!"
1287,After Disappointment,Mark Jarman,"To lie in your child’s bed when she is gone
Is calming as anything I know. To fall
Asleep, her books arranged above your head,
Is to admit that you have never been
So tired, so enchanted by the spell
Of your grown body. To feel small instead
Of blocking out the light, to feel alone,
Not knowing what you should or shouldn’t feel,
Is to find out, no matter what you’ve said
About the cramped escapes and obstacles
You plan and face and have to call the world,
That there remain these places, occupied
By children, yours if lucky, like the girl
Who finds you here and lies down by your side."
1288,Off A Side Road Near Staunton,Stanley Plumly,"Some nothing afternoon, no one anywhere,
an early autumn stillness in the air,
the kind of empty day you fill by taking in
the full size of the valley and its layers leading
slowly to the Blue Ridge, the quality of country,
if you stand here long enough, you could stay
for, step into, the way a landscape, even on a wall,
pulls you in, one field at a time, pasture and fall
meadow, high above the harvest, perfect
to the tree line, then spirit clouds and intermittent
sunlit smoky rain riding the tops of the mountains,
though you could walk until it’s dark and not reach those rains—
you could walk the rest of the day into the picture
and not know why, at any given moment, you’re there."
1289,How She Bowed to her Brother,Gertrude Stein,"The story of how she bowed to her brother.
Who has whom as his.
 Did she bow to her brother. When she saw him.
 Any long story. Of how she bowed to her brother.
 Sometimes not.
 She bowed to her brother. Accidentally. When she saw him.
 Often as well. As not.
 She did not. Bow to her brother. When she. Saw him.
 This could happen. Without. Him.
 Everybody finds in it a sentence that pleases them.
 This is the story included in. How she bowed to her brother.
 Could another brother have a grand daughter.
 No. But. He could have a grandson.
 This has nothing to do with the other brother of whom it is said that we read she bowed to her brother.
 There could be a union between reading and learning.
 And now everybody. Reads. She bowed. To her brother.
 And no one. Thinks.
 Thinks that it is clearly. Startling.
 She started. By not bowing. To her brother.
 And this was not the beginning.
 She has forgotten.
 How she bowed. To her brother.
 And. In mentioning. She did mention. That this was. A recollection.
 For fortunately. In detail. Details were given.
 Made an expression. Of recollection.
 Does whether. They gather. That they heard. Whether. They bowed. To each other. Or not.
 If in. They made it. Doubtful. Or double. Of their holding it. A momentary after. That she was never. Readily made rather. That they were. Whether. She asked her. Was she doing anything. Either.
 In all this there lay. No description. And so. Whether. They could come to be nearly. More. Than more. Or rather. Did she. Bow to her brother.
 
  
 PART II
 They were a few. And they knew. Not that. She had bowed. To her brother. There were
 not. A few. Who knew. That she. Had. Bowed to her brother. Because if they knew.
 They would say. That a few. Knew. That she. Had bowed to her brother. But
 necessarily. Not a few. Knew. They did. Not know. Because they. Were not there. There
 are not a few. Who are there. Because. Nobody. Was there. Nor did. She know. That
 she was there. To help to share. And they can. Be there. To tell. Them. So. That. They
 know. She bowed. To her brother. More. There. Than. There.
 
  
 III
 It might be easily pointed out. By the chance. Of a. Wish. No wish.
 He might. Not wish. Not to. Be easily. Pointed out. By no. Wish.
 Which they. Might easily.
 Not be pointed. Out. As. A and not. The wish.
 It is not. To be. Pointed out. That. There. Is. No wish.
 Not. A wish.
 She bowed to her brother. Was not easily. Pointed out. And. No wish.
 Which it. And easily. Pointed out. And. No. Wish.
 She and. No wish. Which  is. Not easily pointed out. And. So which. They. And. No wish. Which. And not. Easily pointed out. She bowed to her brother. And no wish. And no wish. And not. Easily pointed out. And no. Wish.
 For them. Which. To wish. Not. Which. Easily. Pointed out. And. No wish. Which. She. No wish. Easily pointed out.
 Which. She easily pointed out. Which. She bowed to her brother. And. Which.
 If she had been likely to restate that doors which relate an advantage to their advancing. And not at all. As a coincidence.
 She bowed to her brother. This was a chance. That might have happened. Minutely.
 To interrupt a white dog. Who can occasionally.
 In instance
 No once counts alike
 She bowed to her brother. For. And. Counts alike.
 She bowed. To her brother. Could be lost. By their leaving. It as lost. By. The time. In which. They feel. They will. It is. Indebted. That able. Presence. As very much. And idle. If she were walking along. She would be. She would not. Bow to her brother. If she were  riding. Along. She would. Be. She would. Be. Not as bowing. To her. Brother.
 As she rode along. Easily. By driving. As she rode. Along. She. Bowed. To her brother.
 It is. True. As. She drove. Along. She. Bowed. To her brother.
 Just like that.
 She bowed. To her brother.
 They were. There. That is to say. They were. Passing there. They were passing there. But not. On that day. And with this. To say. It was said. She bowed. To her brother. Which was. A fact.
 If she bowed. To her brother. Which was. A fact. That is. If she bowed. Which. If she bowed. Which she did. She bowed to her brother.
 Which she did. She bowed to her brother. Or rather. Which she did. She bowed to her brother. Or rather which she did she bowed to her brother.
 She could think. Of how she was. Not better. Than when. They could say. Not. How do you do. To-day. Because. It is an accident. In suddenness. When there is. No stress. On their. Address. They do not address you. By saying. Rather. That they went by. And came again. Not. As. Or. Why.
 It is. What is. Even. Not always occurred. Just by the time. That it. Can happen. To be curious. She bowed. To her brother. And why. Again. In there. Should have been. Not more. Than. That. Which. She bowed. To her brother.
 By which. It is. In tendency. To more. By which. It is. In tendency to not. Have had. She in the. Three. She bowed. To her brother.
 Would it be. In a way. Not they. Would. Not. They. Be in a way that is. To say. She. Is to say. Did. She bow. To her brother. In. Which way. Did. She come to say. It was. That way.
 She bowed to her brother.
 If it was. Separately. Not. To separate. Separately. No one. Is there. But there. Was it. With them. As perhaps. Portions. For there. Which. In which. She bowed to her brother.
 Not. After. In intention. The same. As mention. She did not mention. Nor was there. Intention. That she. Bowed to her brother.
 She bowed to her brother."
1290,Idem the Same: A Valentine to Sherwood Anderson,Gertrude Stein,"I knew too that through them I knew too that he was through, I knew too that he threw them. I knew too that they were through, I knew too I knew too, I knew I knew them.

        I knew to them.

        If they tear a hunter through, if they tear through a hunter, if they tear through a hunt and a hunter, if they tear through different sizes of the six, the different sizes of the six which are these, a woman with a white package under one arm and a black package under the other arm and dressed in brown with a white blouse, the second Saint Joseph the third a hunter in a blue coat and black garters and a plaid cap, a fourth a knife grinder who is full faced and a very little woman with black hair and a yellow hat and an excellently smiling appropriate soldier. All these as you please.

        In the meantime examples of the same lily. In this way please have you rung.
 

WHAT DO I SEE?

        A very little snail.

        A medium sized turkey.

        A small band of sheep.

        A fair orange tree.

        All nice wives are like that.

        Listen to them from here.

        Oh.

        You did not have an answer.

        Here.

        Yes.
 

A VERY VALENTINE.

        Very fine is my valentine.

        Very fine and very mine.

        Very mine is my valentine very mine and very fine.

        Very fine is my valentine and mine, very fine very mine and mine is my valentine.
 

WHY DO YOU FEEL DIFFERENTLY.

        Why do you feel differently about a very little snail and a big one.

        Why do you feel differently about a medium sized turkey and a very large one.

        Why do you feel differently about a small band of sheep and several sheep that are riding.

        Why do you feel differently about a fair orange tree and one that has blossoms as well.

        Oh very well.

        All nice wives are like that.
 
 
 

        To Be

        No Please.

        To Be

        They can please

        Not to be

        Do they please.

        Not to be

        Do they not please

        Yes please.

        Do they please

        No please.

        Do they not please

        No please.

        Do they please.

        Please.

        If you please.

        And if you please.

        And if they please

        And they please.

        To be pleased

        Not to be pleased.

        Not to be displeased.

        To be pleased and to please.
 

KNEELING

        One two three four five six seven eight nine and ten.

        The tenth is a little one kneeling and giving away a rooster with this feeling.

        I have mentioned one, four five seven eight and nine.

        Two is also giving away an animal.

        Three is changed as to disposition.

        Six is in question if we mean mother and daughter, black and black caught her, and she offers to be three she offers it to me.

        That is very right and should come out below and just so.
 

BUNDLES FOR THEM.

A HISTORY OF GIVING BUNDLES.

        We are able to notice that each one in a way carried a bundle, they were not a trouble to them nor were they all bundles as some of them were chickens some of them pheasants some of them sheep and some of them bundles, they were not a trouble to them and then indeed we learned that it was the principal recreation and they were so arranged that they were not given away, and to-day they were given away.

        I will not look at them again.

        They will not look for them again.

        They have not seen them here again.

        They are in there and we hear them again.

        In which way are stars brighter than they are. When we have come to this decision. We mention many thousands of buds. And when I close my eyes I see them.
 

        If you hear her snore

        It is not before you love her

        You love her so that to be her beau is very lovely

        She is sweetly there and her curly hair is very lovely

        She is sweetly here and I am very near and that is very lovely.

        She is my tender sweet and her little feet are stretched out well which is a treat and very lovely

        Her little tender nose is between her little eyes which close and are very lovely.

        She is very lovely and mine which is very lovely.
 

ON HER WAY.

        If you can see why she feel that she kneels if you can see why he knows that he shows what he bestows, if you can see why they share what they share, need we question that there is no doubt that by this time if they had intended to come they would have sent some notice of such intention. She and they and indeed the decision itself is not early dissatisfaction.
 

IN THIS WAY.

        Keys please, it is useless to alarm any one it is useless to alarm some one it is useless to be alarming and to get fertility in gardens in salads in heliotrope and in dishes. Dishes and wishes are mentioned and dishes and wishes are not capable of darkness. We like sheep. And so does he.
 

                                                                  LET US DESCRIBE.
         Let us describe how they went. It was a very windy night and the road although in excellent condition and extremely well graded has many turnings and although the curves are not sharp the rise is considerable. It was a very windy night and some of the larger vehicles found it more prudent not to venture. In consequence some of those who had planned to go were unable to do so. Many others did go and there was a sacrifice, of what shall we, a sheep, a hen, a cock, a village, a ruin, and all that and then that having been blessed let us bless it."
