,Title,Poet,Poem
124,Letter of Recommendation,Robert B. Shaw,"Miss A, who graduated six years back,
has air-expressed me an imposing stack
of forms in furtherance of her heart's desire:
a Ph.D. Not wishing to deny her,
I dredge around for something laudatory
to say that won't be simply a tall story;
in fact, I search for memories of her,
and draw a blank—or say, at best a blur.
Was hers the class in that ungodly room
whose creaking door slammed with a sonic boom,
whose radiators twangled for the first
ten minutes, and then hissed, and (this was worst)
subsided with a long, regretful sigh?
Yes, there, as every Wednesday we would try
to overlook cacophony and bring
our wits to bear on some distinguished thing
some poet sometime wrote, Miss A would sit
calm in a middle row and ponder it.
Blonde, I believe, and quiet (so many are).
A dutiful note-taker. Not a star.
Roundheads and Cavaliers received their due
notice from her before the term was through.
She wrote a paper on . . . could it have been
""Milton's Idea of Original Sin""?
Or was it ""Deathbed Imagery in Donne""?
Whichever, it was likely not much fun
for her. It wasn't bad, though I've seen better.
But I can hardly say that in a letter
like this one, now refusing to take shape
even as wispy memories escape
the reach of certitude. Try as I may,
I cannot render palpable Miss A,
who, with five hundred classmates, left few traces
when she decamped. Those mortarboard-crowned faces,
multitudes, beaming, ardent to improve
a world advancing dumbly in its groove,
crossing the stage that day—to be consigned
to a cold-storage portion of the mind . . .
What could be sadder? (She remembered me.)
The transcript says I gave Miss A a B."
125,Li Hua's Messenger,Peter Bethanis,"In a hut far from the village  
Li Hua bends over his canvas  
like an insect.  

He is so deliberate,  
each stroke is a spider's legs  
fighting the current.  

There is a war in his veins,  
a battle of desires.  
He is jealous of Li Po  
whose pictures glide  
like the moon over dark water.  

I do not wish  
to disturb him  
as he tries to make art  
in this time of death,  

so I will wait,  
like a fly on the tip of a stick,  
until he is finished."
126,Lions Are Interesting,Joel Brouwer,"Each morning in the little white cabin  
by the river they woke to a raccoon  
clawing under the floorboards or banging  
in the wood stove. They did not discuss this.  
Instead they said it was a perfect day  
to pick blueberries on the hill, or that  
a hike to the old glassworks sounded good.  
They were beginning to speak not in meat  
but in the brown paper the butcher wraps  
around it. Brown paper around dirty  
magazines. Like dirty magazines, they  
only traced the contour of substance: silk  
over skin, skin over muscle, muscle over  
bone. What's under bone? Marrow? Their forks so  
small and dull. As if for dolls. You can tell  
dolls from animals because the latter  
are made of meat. Many eat it, also.  
Lions are interesting. Lions don't eat  
the flesh of their kills right away, but first  
lap up the blood, until the meat is blanched  
nearly white. White as the little cabin  
by the river they stayed in that summer.  
White as the raccoon covered in ashes,  
his black eyes bottomless and bright with hate."
127,LITTLE BLESSING FOR MY FLOATER,Jeanne Murray Walker,"After George Herbert

This tiny ruin in my eye, small
flaw in the fabric, little speck
of blood in the egg, deep chip
in the windshield, north star,
polestar, floater that doesn't
float, spot where my hand is not,
even when I'm looking at my hand,
little piton that nails every rock
I see, no matter if the picture
turns to sand, or sand to sea,
I embrace you, piece of absence
that reminds me what I will be,
all dark some day unless God
rescues me, oh speck
that might teach me yet to see."
128,Little God Origami,Stefi Weisburd,"The number of corners in the soul can't
compare with the universe's dimensions folded
neatly into swans. In the soul's
space, one word on a thousand pieces
of paper the size of cookie fortunes falls
from the heavens. At last, the oracular
answer, you cry, pawing at the scraps that twirl
like seed-pod helicopters. Alas, the window
to your soul needs a good scrubbing, so
the letters doodle into indecipherables just
like every answer that has rained
down through history, and you realize, in
your little smog of thought that death
will simply be the cessation of asking, a thousand
cranes unfolding themselves and returning to the trees."
129,Love Poem for an Enemy,Richard Katrovas,"I, as sinned against as sinning, 
take small pleasure from the winning 
of our decades-long guerrilla war. 
For from my job I've wanted more 
than victory over one who'd tried 
to punish me before he died, 
and now, neither of us dead, 
we haunt these halls in constant dread 
of drifting past the other's life 
while long-term memory is rife 
with slights that sting like paper cuts. 
We've occupied our separate ruts 
yet simmered in a single rage. 
We've grown absurd in middle age 
together, and should seek wisdom now 
together, by ending this row. 
I therefore decommission you 
as constant flagship of my rue. 
Below the threshold of my hate 
you now my good regard may rate. 
For I have let my anger pass. 
But, while you're down there, kiss my ass."
130,Love Recidivus,Lisa Barnett,"Whatever it may be, we may suppose 
it is not love, for love must leave its trace 
like contraband seized and displayed in rows; 
is not sufficient reason to erase 

the careful lives we have so far lived through— 
there is no call for us to undermine 
the walls we've built; no need to think anew 
of all the chains and choices that define 

us still. And yet for all our fine intent 
a single touch ignites the night and tries 
resolve past all resisting. What we meant 
before we mean again; fidelities 

have yet been known to shift and come undone 
and all good reasons fail us, one by one."
131,Luciferin,Dean Young,"""They won't attack us here in the Indian graveyard."" 
I love that moment. And I love the moment 
when I climb into your warm you-smelling 
bed-dent after you've risen. And sunflowers, 
once a whole field and I almost crashed, 
the next year all pumpkins! Crop rotation, 
I love you. Dividing words between syl- 
lables! Dachshunds! What am I but the inter- 
section of these loves? I spend 35 dollars on a CD 
of some guy with 15 different guitars in his shack 
with lots of tape delays and loops, a good buy! 
Mexican animal crackers! But only to be identified 
by what you love is a malformation just as 
embryonic chickens grow very strange in zero 
gravity. I hate those experiments on animals, 
varnished bats, blinded rabbits, cows 
with windows in their flanks but obviously 
I'm fascinated. Perhaps it was my early exposure 
to Frankenstein. I love Frankenstein! Arrgh, 
he replies to everything, fire particularly 
sets him off, something the villagers quickly 
pick up. Fucking villagers. All their shouting's 
making conversation impossible and now 
there's grit in my lettuce which I hate 
but kinda like in clams as one bespeaks 
poor hygiene and the other the sea. 
I hate what we're doing to the sea, 
dragging huge chains across the bottom, 
bleaching reefs. Either you're a rubber/ 
gasoline salesman or like me, you'd like 
to duct tape the vice president's mouth 
to the exhaust pipe of an SUV and I hate 
feeling like that. I would rather concentrate 
on the rapidity of your ideograms, how 
only a biochemical or two keeps me 
from becoming the world's biggest lightning bug."
132,Lullaby for the Second Millennium,J. Allyn Rosser,"From the point of view of all time, 
these recent changes signal 
more a return to nature 
than a departure, than degradation. 
In the beginning, after all, 
there was boiling rock. 
Then waters arranging their bodies 
around an era of softer forms: 
lichen, grassland, swaying treetops. 
Then creatures, movingly fleshed, 
treading pathways that hardened. 
Then pavement hardening 
and cities, monumental. 
Soon mostly rock again, 
and radiant. More and more like moon. 
Soon, sooner than is being thought, 
there will be even more light. 
The creatures will have stopped 
being able to move 
or be moved. 
And the rock will boil."
133,Magnificat,Eleanor Wilner,"When he had suckled there, he began   
to grow: first, he was an infant in her arms,   
but soon, drinking and drinking at the sweet   
milk she could not keep from filling her,   
from pouring into his ravenous mouth,   
and filling again, miraculous pitcher, mercy   
feeding its own extinction . . . soon he was   
huge, towering above her, the landscape,   
his shadow stealing the color from the fields,   
even the flowers going gray. And they came   
like ants, one behind the next, to worship   
him—huge as he was, and hungry; it was   
his hunger they admired most of all.   
So they brought him slaughtered beasts:   
goats, oxen, bulls, and finally, their own   
kin whose hunger was a kind of shame   
to them, a shrinkage; even as his was   
beautiful to them, magnified, magnificent.   
   
The day came when they had nothing left   
to offer him, having denuded themselves   
of all in order to enlarge him, in whose   
shadow they dreamed of light: and that   
is when the thought began to move, small   
at first, a whisper, then a buzz, and finally,   
it broke out into words, so loud they thought   
it must be prophecy: they would kill him,   
and all they had lost in his name would return,   
renewed and fresh with the dew of morning.   
Hope fed their rage, sharpened their weapons.   
   
And who is she, hooded figure, mourner now   
at the fate of what she fed? And the slow rain,   
which never ends, who is the father of that?   
And who are we who speak, as if the world   
were our diorama—its little figures moved   
by hidden gears, precious in miniature, tin soldiers,   
spears the size of pins, perfect replicas, history   
under glass, dusty, old fashioned, a curiosity   
that no one any longer wants to see,   
excited as they are by the new giant, who feeds   
on air, grows daily on radio waves, in cyberspace,   
who sows darkness like a desert storm,   
who blows like a wind through the Boardrooms,
 who touches the hills, and they smoke."
134,Map,Atsuro Riley,"Daddy goes. 

         Trolling and trawling and crawfishing and crabbing and bass-boating and trestle-jumping bare into rust-brackish water and cane-poling for bream and shallow-gigging too with a nail-pointy broomstick and creek-shrimping and cooler-dragging and coon-chasing and dove-dogging and duck-bagging and squirrel-tailing and tail-hankering and hard-cranking and -shifting and backfiring like a gun in his 
tittie-tan
 El Camino and parking it at The House of Ham and Dawn's Busy Hands and Betty's pink house and Mrs. Sweatman's brick house and Linda's dock-facing double-wide and spine-leaning Vicki against her 
WIDE-GLIDE
 Pontiac and pumping for pay at Ray Wade's Esso and snuff-dipping and plug-sucking and tar-weeping pore-wise and LuckyStrike-smoking and Kool only sometimes and penny-pitching and dog-racing and bet-losing 
cocksuckmotherfuck
 and pool-shooting and bottle-shooting over behind Tas-T-O's Donuts and 
shootin' the shit
 and 
chewin' the fat
 and 
just jawin' who asked you
 and blank-blinking quick back at me and 
whose young are you no-how
 and hounddog-digging buried half-pints from the woods."
135,Mapping the Genome,Michael Symmons Roberts,"Geneticist as driver, down the gene
codes in, let's say, a topless coupe
and you keep expecting bends,

real tyre-testers on tight
mountain passes, but instead it's dead
straight, highway as runway,

helix unravelled as vista,
as vanishing point. Keep your foot
down. This is a finite desert.

You move too fast to read it,
the order of the rocks, the cacti,
roadside weeds, a blur to you.

Every hour or so, you pass a shack
which passes for a motel here:
tidy faded rooms with TVs on

for company, the owner pacing out
his empty parking lot. And after
each motel you hit a sandstorm

thick as fog, but agony.
Somewhere out there are remnants
of our evolution, genes for how

to fly south, sense a storm,
hunt at night, how to harden
your flesh into hide or scales.

These are the miles of dead code.
Every desert has them.
You are on a mission to discover

why the human heart still slows
when divers break the surface,
why mermaids still swim in our dreams."
136,Market Forecast,Alexa Selph,"Adjectives continue 
their downward spiral, 
with adverbs likely to follow. 

Wisdom, grace, and beauty 
can be had three for a dollar, 
as they head for a recession. 

Diaphanous, filigree, 
pearlescent, and love 
are now available 
at wholesale prices. 

Verbs are still blue-chip investments, 
but not many are willing to sell. 

The image market is still strong, 
but only for those rated AA or higher. 
Beware of cheap imitations 
sold by the side of the road. 

Only the most conservative 
consider rhyme a good option, 
but its success in certain circles 
warrants a brief mention. 

The ongoing search for fresh 
metaphor has caused concern 
among environmental activists, 

who warn that both the moon and the sea 
have measurably diminished 
since the dawn of the Romantic era. 

Latter-day prosodists are having to settle 
for menial positions in poultry plants, 
where an aptitude for repetitive rhythms 
is considered a valuable trait. 

The outlook for the future remains uncertain, 
and troubled times may lie ahead. 
Supply will continue to outpace demand, 
and the best of the lot will remain unread."
137,Mary Shelley in Brigantine,Stephen Dunn,"Because the ostracized experience the world 
in ways peculiar to themselves, often seeing it 
clearly yet with such anger and longing 
that they sometimes enlarge what they see, 
she at first saw Brigantine as a paradise for gulls. 
She must be a horseshoe crab washed ashore. 

How startling, though, no one knew about her past, 
the scandal with Percy, the tragic early deaths, 
yet sad that her Frankenstein had become 
just a name, like Dracula or Satan, something 
that stood for a kind of scariness, good for a laugh. 
She found herself welcome everywhere. 

People would tell her about Brigantine Castle, 
turned into a house of horror. They thought 
she'd be pleased that her monster roamed 
its dark corridors, making children scream. 
They lamented the day it was razed. 
Thus Mary Shelley found herself accepted 

by those who had no monster in them —
the most frightening people alive, she thought. 
Didn't they know Frankenstein had abandoned 
his creation, set him loose without guidance 
or a name? Didn't they know what it feels like 
to be lost, freaky, forever seeking who you are? 

She was amazed now that people believed 
you could shop for everything you might need. 
She loved that in the dunes you could almost hide. 
At the computer store she asked an expert 
if there was such a thing as too much knowledge, 
or going too far? He directed her to a website 

where he thought the answers were. 
Yet Mary Shelley realized that the pain she felt 
all her life was gone. Could her children, dead so young, 
be alive somewhere, too? She couldn't know 
that only her famous mother had such a chance. 
She was almost ready to praise this awful world."
138,Memorial Service,George Garrett,"Forgiving the living is hard 
enough, shrugging away all the wounds 
delivered with kisses and curses, 
the thousand and one petty slights 
that bled me to an albino shade, 
that shadow me even in dreams. 

But the dead are altogether 
another matter, not easily to be 
enlightened and quite beyond regretting 
anything (as far as we can tell) 
and most likely indifferent to 
our common currency of tears. 

And so it is that pissing on your grave 
doesn't please me as much as it ought to. 
Now that you have passed beyond 
all blaming and shaming, what can I do 
but rise and proclaim sincere admiration 
when my turn comes around to speak?"
139,Middle-Aged: A Study in an Emotion,Ezra Pound,"A STUDY IN AN EMOTION

""'Tis but a vague, invarious delight. 
As gold that rains about some buried king. 

As the fine flakes, 
When tourists frolicking 
Stamp on his roof or in the glazing light 
Try photographs, wolf down their ale and cakes 
And start to inspect some further pyramid; 

As the fine dust, in the hid cell beneath 
Their transitory step and merriment, 
Drifts through the air, and the sarcophagus 
Gains yet another crust 
Of useless riches for the occupant, 
So I, the fires that lit once dreams 
Now over and spent, 
Lie dead within four walls 
And so now love 
Rains down and so enriches some stiff case, 
And strews a mind with precious metaphors, 

And so the space 
Of my still consciousness 
Is full of gilded snow, 

The which, no cat has eyes enough 
To see the brightness of."""
140,Military Mind,Charlie Smith,"I wanted to go to military school  
and march, I wanted to grow up  
and be composed and expert  
with a rifle, with tactics and fighting,  
to be safe and courageous among men  
in barracks and on the battlefield.  
I wanted to see my arms hairy and  
corded with muscle at the end of rolled up khaki sleeves.  
I wanted to flex my feet in boots and  
look down at the the dust of battles  
dimming the leather surfaces, the blood slick  
on the rim of the soles. I wanted  
the smell of gunpowder in my nostrils, the grime  
on my face, the washed-out hollow  
love for my comrades found in the foxholes,  
the sad understanding, the requiems  
of late afternoons walking away from the burial site  
with the widow as she cradled the triangulated flag  
like a plowblade in her arms."
141,The Miscarriage,Amit Majmudar,"Some species can crack pavement with their shoots 
to get their share of sun some species lay 
a purple froth of eggs and leave it there 
to sprinkle tidepools with tadpole confetti 
some species though you stomp them in the carpet  
have already stashed away the families 
that will inherit every floor at midnight 
But others don’t go forth and multiply 
as boldly male and female peeling the bamboo 
their keepers watching in despair or those 
endangered species numbered individually 
and mapped from perch to oblivious perch 

For weeks the world it seemed was plagued  
with babies forests dwindling into cradles  
rows of women hissing for an obstetrician  
babies no one could feed babies received 
by accident like misdirected mail 
from God so many babies people hired 
women to hold them babies babies everywhere 
but not a one to name When we got home  
the local news showed us a mother with  
quintuplets she was suckling them in shifts 
a mountain of sheets universally admired  
a goddess of fertility her smile  
could persuade the skies to rain Her litter  
slept ointment-eyed in pink wool caps while Dad 
ran his hand through his hair thinking maybe  
of money as he stood surveying his 
crowded living room his wealth of heartbeats 

Pizza and pop that night and there unasked inside 
the bottlecap was Sorry—Try Again 
you set it down and did not speak of it 
the moon flanked by her brood of stars that night 
a chaste distracted kiss goodnight that night 
your body quiet having spilled its secret 
your palms flat on your belly holding holding 

Forgive me if I had no words that night 
but I was wondering in the silence still 
begetting silence whether to console you 
if I consoled you it would make the loss 
your loss and so we laid beside ourselves 
a while because I had no words until 
our bodies folded shut our bodies closed 
around hope like a book preserving petals 
a book we did not open till the morning when 
we found hope dry and brittle but intact"
142,Missed Time,Ha Jin,"My notebook has remained blank for months 
thanks to the light you shower 
around me. I have no use 
for my pen, which lies 
languorously without grief. 

Nothing is better than to live 
a storyless life that needs 
no writing for meaning— 
when I am gone, let others say 
they lost a happy man, 
though no one can tell how happy I was."
143,The Modern Pastoral Elegy,Conor O'Callaghan,"A Tick-Where-Appropriate Template

It begins with unspecified “you” and “we”  
raising fists of defiance to the void, 
the morning we opened the obituary, 
a pun on “decompose” you’d have enjoyed. 
These crocodile tears shed in rhyme, 
in an age too commercial to care, 
recall how we met the first time 
and the feisty old trooper you were, 
        you were, 
what a feisty old trooper you were: 

the snook you cocked at convention; 
writing only when the muse was near 
your solitary published collection, 
Parnassus—A Calling Not a Career, 
we reviewed and/or said we admired: 
its allusions to myth, its classical power 
we found “inspiring” if not “inspired”  
and “important” as a euphemism for  “dour,”  
        for “dour,”  
important to find euphemisms for “dour”; 

your committee work; your taste in shoes; 
your alcoholism and/or love for jazz; 
your appetite for social issues 
that none of the young crowd has; 
your impatience with those smart alecks 
who expect to have and eat their cake, 
and some daringly inverted syntax 
the occasional end-rhyme to make, 
        to make, 
occasionally an end-rhyme you’d make; 

your insistence upon a thing called “craft”  
(perhaps you meant margarine); 
how establishment critics originally laughed 
at your pamphlets from the Slovene; 
how you very nearly popped your clogs 
as we fought to get your name cleared; 
you were our stag set upon by dogs,  
indestructible in duffel coat and/or beard, 
        your beard, 
the indescribable duffel coat and/or beard; 

your years of silence and/or  second wife 
whose whereabouts remain uncertain; 
a paean to your flowering late in life 
in some council flat in Suburbiton 
and your dab hand with a hoover 
seasoned with the odd gratuitous clue 
(much as we champion your oeuvre) 
that we’re better writers than you, 
        than you, 
we’re better writers than you; 

the valedictions when last we met—  
“Shut the door, comrades, adieu”—  
however innocuous when said, 
now seem prophetic: you knew; 
your despair and/or  your courage; 
a warning for our planet and times 
culminating with a rhetorical flourish 
that pans out along these lines, 
        these lines, 
that pads out along these lines: 

Something something something world, 
something something something grope. 
Something something something unfurled, 
something something something hope. 

Something something something dark, 
something something something night. 
Something something something lark, 
something something something light."
144,A Momentary Longing to Hear Sad Advice from One Long Dead,Kenneth Koch,"Who was my teacher at Harvard. Did not wear overcoat 
Saying to me as we walked across the Yard 
Cold brittle autumn is you should be wearing overcoat. I said 
You are not wearing overcoat. He said, 
You should do as I say not do as I do. 
Just how American it was and how late Forties it was 
Delmore, but not I, was probably aware. He quoted Finnegans Wake to me 
In his New York apartment sitting on chair 
Table directly in front of him. There did he write? I am wondering. 
Look at this photograph said of his mother and father. 
Coney Island. Do they look happy? He couldn't figure it out. 
Believed Pogo to be at the limits of our culture. 
Pogo. Walt Kelly must have read Joyce Delmore said. 
Why don't you ask him? 
Why don't you ask Walt Kelly if he read Finnegans Wake or not. 
Your parents don't look happy but it is just a photograph. 
Maybe they felt awkward posing for photographs. 
Maybe it is just a bad photograph. Delmore is not listening 
I want to hear him tell me something sad but however true. 
Delmore in his tomb is sitting. People say yes everyone is dying 
But here read this happy book on the subject. Not Delmore. Not that rueful man."
145,The Months,Linda Pastan,"January

Contorted by wind,
mere armatures for ice or snow,
the trees resolve
to endure for now,

they will leaf out in April.
And I must be as patient
as the trees—
a winter resolution

I break all over again,
as the cold presses
its sharp blade
against my throat.

 February

After endless
hibernation
on the windowsill,
the orchid blooms—

embroidered purple stitches
up and down
a slender stem.
Outside, snow

melts midair
to rain.
Abbreviated month.
Every kind of weather.

 March

When the Earl King came
to steal away the child
in Goethe’s poem, the father said
don’t be afraid,

it’s just the wind. . .
As if it weren’t the wind
that blows away the tender
fragments of this world—

leftover leaves in the corners
of the garden, a Lenten Rose
that thought it safe
to bloom so early.

 April

In the pastel blur
of the garden,
the cherry
and redbud

shake rain
from their delicate
shoulders, as petals
of pink

dogwood
wash down the ditches
in dreamlike
rivers of color.

 May

May apple, daffodil,
hyacinth, lily,
and by the front
porch steps

every billowing
shade of purple
and lavender lilac,
my mother’s favorite flower,

sweet breath drifting through
the open windows:
perfume of memory—conduit
of spring.

 June

The June bug
on the screen door
whirs like a small,
ugly machine,

and a chorus of frogs
and crickets drones like Musak
at all the windows.
What we don’t quite see

comforts us.
Blink of lightning, grumble
of thunder—just the heat
clearing its throat.

 July

Tonight the fireflies
light their brief
candles
in all the trees

of summer—
color of moonflakes,
color of fluorescent
lace

where the ocean drags
its torn hem
over the dark
sand.

 August

Barefoot
and sun-dazed,
I bite into this ripe peach
of a month,

gathering children
into my arms
in all their sandy
glory,

heaping
my table each night
with nothing
but corn and tomatoes.

 September

Their summer romance
over, the lovers
still cling
to each other

the way the green
leaves cling
to their trees
in the strange heat

of September, as if
this time
there will be
no autumn.

 October

How suddenly
the woods
have turned
again. I feel

like Daphne, standing
with my arms
outstretched
to the season,

overtaken
by color, crowned
with the hammered gold
of leaves.

 November 

These anonymous
leaves, their wet
bodies pressed
against the window

or falling past—
I count them
in my sleep,
absolving gravity,

absolving even death
who knows as I do
the imperatives
of the season.

 December

The white dove of winter
sheds its first
fine feathers;
they melt

as they touch
the warm ground
like notes
of a once familiar

music; the earth
shivers and
turns towards
the solstice."
146,Music,George Scarbrough,"Han-Shan sits on a flat stone 
In his garden and plays the flute, 
Mimicking the birds singing among 
The gourd vines or from the top 
Of the blue pine tree. 

Or he constructs a new trellis 
For the rambling rose over his front 
Gate or works at the great loom in his porch, 
Weaving his own coverlets. 

Sometimes, he paints drinking gourds 
To hang at his cold spring. 

His poems, delicate but strong, 
Paper the ceiling above his bed, 
So he can lie and read 
His own masterpieces. 

No man, he avers, can catch 
Such fish in one basket."
147,"My Brother the Artist, at Seven",Philip Levine,"As a boy he played alone in the fields   
behind our block, six frame houses   
holding six immigrant families,   
the parents speaking only gibberish   
to their neighbors. Without the kids   
they couldn't say ""Good morning"" and be   
understood. Little wonder   
he learned early to speak to himself,   
to tell no one what truly mattered.   
How much can matter to a kid   
of seven? Everything. The whole world   
can be his. Just after dawn he sneaks   
out to hide in the wild, bleached grasses   
of August and pretends he's grown up,   
someone complete in himself without   
the need for anyone, a warrior   
from the ancient places our fathers   
fled years before, those magic places:   
Kiev, Odessa, the Crimea,   
Port Said, Alexandria, Lisbon,   
the Canaries, Caracas, Galveston.   
In the damp grass he recites the names   
over and over in a hushed voice   
while the sun climbs into the locust tree   
to waken the houses. The husbands leave   
for work, the women return to bed, the kids   
bend to porridge and milk. He advances   
slowly, eyes fixed, an animal or a god,   
while beneath him the earth holds its breath."
148,My Century,Alan Feldman,"The year I was born the atomic bomb went off. 
Here I'd just begun, and someone 
found the switch to turn off the world. 

In the furnace-light, in the central solar fire 
of that heat lamp, the future got very finite, 
and it was possible to imagine time-travelers 

failing to arrive, because there was no future. 
Inside the great dark clock in the hall, 
heavy brass cylinders descended. 

Tick-tock, the chimes changed their tune 
one phrase at a time. The bomb became 
a film star, its glamorous globe of smoke 

searing the faces of men in beach chairs. 
Someone threw up every day at school. 
No time to worry about collective death, 

when life itself was permeated by ordeals. 
And so we grew up, beneath an umbrella of acceptance. 
In bio we learned there were particles 

cruising through us like whales through archipelagoes, 
and in civics that if Hitler had gotten the bomb 
he'd have used it on the inferior races, 

and all this time love was etching its scars 
on our skins like maps. The heavens 
remained pure, except for little white slits 

on the perfect blue skin that planes cut 
in the icy upper air, like needles sewing. 
From one, a tiny seed might fall 

that would make a sun on earth. 
And so the century passed, with me still in it, 
books waiting on the shelves to become cinders, 

what we felt locked up inside, waiting to be read, 
down the long corridor of time. I was born 
the year the bomb exploded. Twice 

whole cities were charred like cities in the Bible, 
but we didn't look back. We went on thinking 
we could go on, our shapes the same, 

darkened now against a background lit by fire. 
Forgive me for doubting you're there, 
Citizens, on your holodecks with earth wallpaper—

a shadow-toned ancestor with poorly pressed pants, 
protected like a child from knowing the future."
149,My Dog Practices Geometry,Cathryn Essinger,"I do not understand the poets who tell me 
that I should not personify. Every morning 
the willow auditions for a new role 

outside my bedroom window—today she is 
Clytemnestra; yesterday a Southern Belle, 
lost in her own melodrama, sinking on her skirts. 

Nor do I like the mathematicians who tell me 
I cannot say, ""The zinnias are counting on their 
fingers,"" or ""The dog is practicing her geometry,"" 

even though every day I watch her using 
the yard's big maple as the apex of a triangle 
from which she bisects the circumference 

of the lawn until she finds the place where 
the rabbit has escaped, or the squirrel upped 
the ante by climbing into a new Euclidian plane. 

She stumbles across the lawn, eyes pulling 
her feet along, gaze fixed on a rodent working 
the maze of the oak as if it were his own invention, 

her feet tangling in the roots of trees, and tripping, 
yes, even over themselves, until I go out to assist, 
by pointing at the squirrel, and repeating, ""There! 

There!"" But instead of following my outstretched 
arm to the crown of the tree, where the animal is 
now lounging under a canopy of leaves, 

catching its breath, charting its next escape, 
she looks to my mouth, eager to read my lips, 
confident that I—who can bring her home 

from across the field with a word, who 
can speak for the willow and the zinnia— 
can surely charm a squirrel down from a tree."
150,My God,Susan Rolston,"Protestants pray for grace, 
Scientists look to space. 
Jews find truth in the Torah, 
New Agers, in each other's aura. 

Catholics are blessed by a Pope, 
Yaquis enlightened by dope. 
Maoris use ritual chants, 
Navahos get up and dance. 

Muslims bow daily to Allah, 
Norsemen aspire to Valhalla. 
Feminists swear by a She, 
Quakers swear not, silently. 

Confucians kowtow to ancestors, 
Hare Krishnas, to airport investors. 
Hindus revere Lord Brahma, 
Richard Gere, the Dalai Lama. 

Baptists believe in the Ark, 
Physicists, in the quark. 
Moonies obey Reverend Sun, 
Mormons say Brigham's the one. 

Daoists extol yang and yin, 
Sufis transcend in a spin. 
Shintos seek peace where it's grassy, 
Rastas, in Haile Selassie. 

When we meet in the Afterlife, 
We can laugh at sectarian strife. 
But meanwhile back to the wars, 
'Cause my God's better than yours."
151,N,Randall Mann,"has crawled out of the ocean  
to carry us from sleep, like sleep,  

the gray of outer Sunset portending  
the gray of inner Sunset. And so on.  

On the N, one should invent  
intricate fictions for the lives  

of the passengers: time is a game.  
Soon we will be underground.  

But first, the long lush green  
of Duboce Park, the happiness of dogs!  

Good-bye now to their owners  
eyeing one another. Good-bye  

to the park's locked men's room,  
where once a man was found dead,  

his penis shoved into his own mouth.  
The world continues, the engine  

of the world the letter N."
152,Natural Selection,Alan R. Shapiro,"proceeds by chance
and necessity

becomes nonrandom
through randomness

builds complexity
from simplicity

nurtures consciousness
unconsciously

evolves purposelessly
creatures who demand

purpose
and discover

natural selection"
153,Nightwatchman's Song,W. D. Snodgrass,"After Heinrich I. F. Biber

I 

What’s unseen may not exist—   
Or so those secret powers insist   
            That prowl past nightfall,   
Enabled by the brain’s blacklist   
            To fester out of sight,   

So we streak from bad to worse,   
Through an expanding universe   
            And see no evil.   
On my rounds like a night nurse   
            Or sentry on qui vive,   

I make, through murkier hours, my way   
Where the sun patrolled all day   
            Toward stone-blind midnight   
To poke this flickering flashlamp’s ray   
            At what’s hushed up and hidden.   

Lacking all leave or protocol,   
Things, one by one, hear my footfall,   
            Blank out their faces,   
Dodge between trees, find cracks in walls   
            Or lock down offices.   

Still, though scuttling forces flee   
Just as far stars recede from me   
            To outmost boundaries,   
I stalk through ruins and debris,   
            Graveyard and underground.   

Led by their helmetlantern’s light   
Miners inch through anthracite;   
            I’m the unblinking mole   
That sniffs out what gets lost or might   
            Slip down the world’s black hole.   

II 

(ending his rounds, the watchman, somewhat tipsy, returns) 

What’s obscene?—just our obsessed,   
Incessant itch and interest   
      In things found frightful:   
In bestial tortures, rape, incest;   
      In ripe forbidden fruit   

Dangling, lush, just out of reach;   
Dim cellars nailed up under each   
      Towering success,   
The loser’s envy that will teach   
      A fierce vindictiveness,   

The victors’ high court that insures   
Pardon for winners and procures   
      Little that’s needed   
But all we lust for. What endures?—   
      Exponential greed   

And trash containers overflowing   
With shredded memos, records showing   
      What, who, when, why   
’Til there’s no sure way of knowing   
      What’s clear to every eye:   

The heart’s delight in hatred, runny   
As the gold drip from combs of honey;   
      The rectal intercourse   
Of power politics and money   
      That slimes both goal and source.   

What’s obscured?—what’s abscessed.   
After inspection, I’d suggest   
      It’s time we got our head   
Rewired. I plan to just get pissed,   
      Shitfaced and brain-dead."
154,Nimis Compos Mentis,Leslie Monsour,"(Too sound of mind)

The paper table cloth was tastefully bleak,
The misty morning light shone on his cheek,
And made him look alone and masculine.

He talked of Seneca and bad translations,
Of modern critics' lightweight observations;
A bread crumb rested sweetly on his chin.

Behind him, through the glass, the ocean's heave
Uncurled against the sand, beside his sleeve,
As Eros aimed his toxic javelin.

I ducked out of the way, to no avail;
It glanced my flesh, injecting quite a cocktail
That blurred my sight and caused my head to spin—

Never mind the coffee we were drinking,
Whatever I said was not what I was thinking.
I wanted to become his mandolin,

And lie across his lap, a dainty lute,
And sing to him and feed him ripened fruit,
While light upon the sea turned opaline.

Instead, this conversation about art
And formal education—God, he's smart!
Such rationality should be a sin.

The hour was up, he had to run, of course;
A handshake and a peck of shy remorse—
Outside, the sea was gray and dull as tin;
It ruled the shore with tedious discipline."
